"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Colombia","2017","Grape wines, sparkling","Import","7489270.91","1600646.83","Volume in litres","1420532.33"
"Colombia","2017","Grape wines, sparkling","Export","9003.86","435","Volume in litres","435"
"Colombia","2016","Grape wines, sparkling","Import","11289346","2144349","Volume in litres","1685226"
"Colombia","2016","Grape wines, sparkling","Export","11249","1438","Volume in litres","1435"
"Colombia","2015","Grape wines, sparkling","Import","9129029","2119787","Volume in litres","1733561"
"Colombia","2014","Grape wines, sparkling","Import","10768258","1956199","Volume in litres","1778384"
"Colombia","2013","Grape wines, sparkling","Import","7158589","1580687","Volume in litres","1488757"
"Colombia","2012","Grape wines, sparkling","Import","6109534","1598490","Volume in litres","1171242"
"Colombia","2011","Grape wines, sparkling","Import","4570409","1608545","Volume in litres","929948"
"Colombia","2010","Grape wines, sparkling","Import","4275977","1176327","Volume in litres","1176327"
"Colombia","2009","Grape wines, sparkling","Import","2964323","926460","Volume in litres","926460"
"Colombia","2008","Grape wines, sparkling","Import","2931245","892952","Volume in litres","892952"
"Colombia","2007","Grape wines, sparkling","Import","3282641","1103600","Volume in litres","1103600"
"Colombia","2006","Grape wines, sparkling","Import","2959538","1234915","Volume in litres","1234915"
"Colombia","2006","Grape wines, sparkling","Export","966","1156","Volume in litres","1156"
"Colombia","2005","Grape wines, sparkling","Import","2086049","750483","Volume in litres","750483"
"Colombia","2004","Grape wines, sparkling","Import","1609464","703660","Volume in litres","522002"
"Colombia","2004","Grape wines, sparkling","Export","18","24","Volume in litres","4"
"Colombia","2003","Grape wines, sparkling","Import","1191616","458174","Volume in litres","328800"
"Colombia","2003","Grape wines, sparkling","Export","14126","14194","Volume in litres","8289"
"Colombia","2002","Grape wines, sparkling","Import","945025","434590","Volume in litres","317722"
"Colombia","2002","Grape wines, sparkling","Export","847","384","Volume in litres","217"
"Colombia","2001","Grape wines, sparkling","Import","773514","466385","Volume in litres","319035"
"Colombia","2001","Grape wines, sparkling","Export","6915","8330","Volume in litres","1963"
"Colombia","2000","Grape wines, sparkling","Import","942588","424884","Volume in litres","449169"
"Colombia","2000","Grape wines, sparkling","Export","7527","5492","Volume in litres","2230"
"Colombia","1999","Grape wines, sparkling","Import","1816847","522990","Volume in litres","522990"
"Colombia","1999","Grape wines, sparkling","Export","60","45","Volume in litres","45"
"Colombia","1998","Grape wines, sparkling","Import","1442101","431985","Volume in litres","431985"
"Colombia","1998","Grape wines, sparkling","Export","18959","19500","Volume in litres","19500"
"Colombia","1997","Grape wines, sparkling","Import","1158880","360328","Volume in litres","360328"
"Colombia","1996","Grape wines, sparkling","Import","1133977","358153","Volume in litres","358153"
"Colombia","1995","Grape wines, sparkling","Import","1179002","379661","Volume in litres","379661"
"Colombia","1994","Grape wines, sparkling","Import","1055936","359523","Volume in litres","359523"
"Colombia","1993","Grape wines, sparkling","Import","1119208","404803","Volume in litres","404803"
"Colombia","1992","Grape wines, sparkling","Import","606248","149495","Volume in litres","149495"
"Colombia","1991","Grape wines, sparkling","Import","334853","103506","Volume in litres","103506"

