"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Colombia","Food supply quantity (tonnes)","2013","tonnes","16918.00","S"
"Colombia","Food supply quantity (tonnes)","2012","tonnes","17575.00","S"
"Colombia","Food supply quantity (tonnes)","2011","tonnes","16904.00","S"
"Colombia","Food supply quantity (tonnes)","2010","tonnes","14545.00","S"
"Colombia","Food supply quantity (tonnes)","2009","tonnes","14909.00","S"
"Colombia","Food supply quantity (tonnes)","2008","tonnes","12110.00","S"
"Colombia","Food supply quantity (tonnes)","2007","tonnes","12968.00","S"
"Colombia","Food supply quantity (tonnes)","2006","tonnes","12196.00","S"
"Colombia","Food supply quantity (tonnes)","2005","tonnes","11143.00","S"
"Colombia","Food supply quantity (tonnes)","2004","tonnes","9160.00","S"
"Colombia","Food supply quantity (tonnes)","2003","tonnes","8488.00","S"
"Colombia","Food supply quantity (tonnes)","2002","tonnes","9449.00","S"
"Colombia","Food supply quantity (tonnes)","2001","tonnes","7217.00","S"
"Colombia","Food supply quantity (tonnes)","2000","tonnes","6230.00","S"
"Colombia","Food supply quantity (tonnes)","1999","tonnes","6322.00","S"
"Colombia","Food supply quantity (tonnes)","1998","tonnes","5110.00","S"
"Colombia","Food supply quantity (tonnes)","1997","tonnes","5114.00","S"
"Colombia","Food supply quantity (tonnes)","1996","tonnes","4643.00","S"
"Colombia","Food supply quantity (tonnes)","1995","tonnes","4506.00","S"
"Colombia","Food supply quantity (tonnes)","1994","tonnes","4233.00","S"
"Colombia","Food supply quantity (tonnes)","1993","tonnes","3786.00","S"
"Colombia","Food supply quantity (tonnes)","1992","tonnes","2593.00","S"
"Colombia","Food supply quantity (tonnes)","1991","tonnes","2624.00","S"
"Colombia","Food supply quantity (tonnes)","1990","tonnes","1931.00","S"
"Colombia","Food supply quantity (tonnes)","1989","tonnes","2004.00","S"
"Colombia","Food supply quantity (tonnes)","1988","tonnes","1956.00","S"
"Colombia","Food supply quantity (tonnes)","1987","tonnes","2369.00","S"
"Colombia","Food supply quantity (tonnes)","1986","tonnes","2193.00","S"
"Colombia","Food supply quantity (tonnes)","1985","tonnes","2333.00","S"
"Colombia","Food supply quantity (tonnes)","1984","tonnes","1805.00","S"
"Colombia","Food supply quantity (tonnes)","1983","tonnes","1644.00","S"
"Colombia","Food supply quantity (tonnes)","1982","tonnes","3384.00","S"
"Colombia","Food supply quantity (tonnes)","1981","tonnes","3124.00","S"
"Colombia","Food supply quantity (tonnes)","1980","tonnes","3325.00","S"
