"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Colombia","Area harvested","2017","ha","2514.00","Im"
"Colombia","Area harvested","2016","ha","2412.00",""
"Colombia","Area harvested","2015","ha","2214.00",""
"Colombia","Area harvested","2014","ha","2175.00",""
"Colombia","Area harvested","2013","ha","2254.00",""
"Colombia","Area harvested","2012","ha","2236.00",""
"Colombia","Area harvested","2011","ha","2253.00",""
"Colombia","Area harvested","2010","ha","2575.00",""
"Colombia","Area harvested","2009","ha","2579.00",""
"Colombia","Area harvested","2008","ha","2394.00",""
"Colombia","Area harvested","2007","ha","2378.00",""
"Colombia","Area harvested","2006","ha","2147.00",""
"Colombia","Area harvested","2005","ha","1958.00",""
"Colombia","Area harvested","2004","ha","1328.00",""
"Colombia","Area harvested","2003","ha","1394.00",""
"Colombia","Area harvested","2002","ha","1150.00",""
"Colombia","Area harvested","2001","ha","1247.00",""
"Colombia","Area harvested","2000","ha","1027.00",""
"Colombia","Area harvested","1999","ha","1229.00",""
"Colombia","Area harvested","1998","ha","1150.00","F"
"Colombia","Area harvested","1997","ha","1118.00","Im"
"Colombia","Area harvested","1996","ha","1249.00","Im"
"Colombia","Area harvested","1995","ha","1354.00","Im"
"Colombia","Area harvested","1994","ha","1350.00","Im"
"Colombia","Area harvested","1993","ha","1300.00","F"
"Colombia","Area harvested","1992","ha","1499.00",""
"Colombia","Area harvested","1991","ha","1499.00",""
"Colombia","Area harvested","1990","ha","1423.00",""
"Colombia","Area harvested","1989","ha","1466.00",""
